Ravenna,Canaday steam plant,Kearney 4,HAYES CENTER 1NW,GRAND ISLAND CENTRAL NE REGIONAL AP,Gothenberg,North Platte Exp Farm,David City
26.7,27.8,27.1,28,26.6,38.5,38.2,26
20.5,22.5,21.6,24.1,23.7,36,32.5,18.6
20.4,22.9,21.7,22.3,23.1, ,30.3,18.9
38.6,40.6,39,39.8,40.3,54.4,51.6,37.2
39.9,42.2,41.2,41.5,43.1,58.1,52.8,40.3
64,65.5,64.3,62.7,67,77.5,74,66.7
73.7,74.9,74.7,71.5,76.5,86.3,82.9,74.1
73.5,74.3,73.8,73.7,75.2,84.6,84.4,73.4
71.1,71.2,71.1,70.6,73.4, ,82.9,71.7
66.6,67.2,66.7,66.8,67.4, ,78.3,66.5
47.4,48.3,47.3,46.6,49.7,61.1,57.9,47.7
33.6,34.7,33.9,35,35,47.9,45.5,30.9
27.2,28.3,27.9,28.4,29.9,39.3,35.2,26.9
