Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Oct-06,2.638709677,3.681935484,2.440322581,1.56,2.363870968,1.481290323,2.062258065,1.849354839,3.278387097,3.324193548,2.996129032,4.587741935
Nov-06,2.534333333,3.677,2.45,1.56,2.355,1.560666667,2.073,1.981333333,3.451,3.558666667,3.230666667,4.724
Dec-06,3.589677419,3.703870968,2.486296296,1.558064516,2.956774194,2.269354839,2.00483871,2.137741935,3.691071429,3.736451613,3.440645161,4.705806452
Jan-07,3.8675,3.714,2.494642857,1.556451613,3.497741935,2.589677419,2.295806452,2.451290323,3.84,4.158064516,3.601935484,4.467419355
Feb-07,7.2525,4.554615385,3.166956522,1.545625,4.060555556,3.095,2.827857143,2.807142857,4.645,4.214285714,4.208928571,4.195714286
Mar-07,4.051935484,4.471935484,3.377741935,1.481153846,3.358928571,2.63483871,2.309677419,2.49,3.978709677,4.471935484,4.020967742,4.24483871
Apr-07,4.1788,4.43037037,3.901333333,1.715333333,3.361666667,2.538666667,2.594333333,2.541333333,4.098333333,4.822,4.125,4.693666667
May-07,5.158148148,3.867727273,5.574193548,2.733793103,2.869032258,2.502903226,2.456774194,2.407096774,3.842258065,5.298387097,4.123225806,4.657096774
Jun-07,5.59862069,4.622857143,6.397931034,3.158275862,3.375333333,2.742666667,2.663333333,2.659,4.136363636,5.347666667,4.455666667,4.936
Jul-07,5.581935484,4.216774194,6.821290323,2.950769231,2.858709677,2.32,2.212580645,2.110967742,3.517741935,4.508064516,3.768387097,4.106451613
Aug-07,5.394516129,3.884482759,6.933548387,3.118387097,2.69483871,2.211612903,2.233225806,2.082580645,3.656774194,4.276774194,3.972580645,4.303225806
Sep-07,3.818,3.22,4.143793103,1.859230769,1.649,1.511333333,1.698,1.436666667,2.948,4.218666667,3.340666667,4.198333333
Oct-07,3.581612903,3.768,3.269032258,1.5825,2.598387097,2.17,1.915806452,1.710322581,3.2452,4.757096774,3.663225806,4.688709677
