"","RVT","CDYT","KYT","HYT","GIT","GOT","NPT","DCT"
"25",0.399999999999999,0.399999999999999,0,2.4,0.899999999999999,5.8,4.4,0.300000000000001
"26",1,0.300000000000001,0.599999999999998,0,0.600000000000001,-3.2,-5.1,2.2
"27",20.8,20.1,18.8,17.4,19.7,20.9,21.3,20.2
"28",5.2,5,7,6.3,7.09999999999999,3.59999999999999,4.7,7.1
"29",17.2,18.6,19.1,18.6,18.1,18.7,20.1,17.5
"30",3.09999999999999,3.3,2.40000000000001,3.5,3.3,4.09999999999999,4.19999999999999,3.90000000000001
"31",-4.2,-5,-4.40000000000001,-4.5,-5.40000000000001,-6.3,-5.69999999999999,-5.40000000000001
"32",-7.69999999999999,-8,-9.09999999999999,-9.5,-8.3,-8.3,-9.30000000000001,-7.59999999999999
"33",-20,-19.3,-18.9,-19.8,-20.6,-25,-23.7,-21.7
"34",-8.1,-5.6,-7.2,-6.5,-6.8,-2.2,-4.2,-9.2
"35",-6.4,-5.7,-6.5,-4.5,-6.1,-5.3,-5.1,-4.3
"36",-6,-5.7,-6,-4.5,-7.7,-4.5,-3.7,-8.3
"37",-0.599999999999998,-1.8,-0.600000000000001,-2.9,0.5,-4.4,-3.5,-0.399999999999999
"38",15.4,12.6,12.3,13.4,15.5,19.3,14.4,15.9
"39",11,12.4,13.4,10.6,10.6,6.8,10.3,13.1
"40",6.3,6.4,6.59999999999999,7.1,6.8,7.5,6.3,6.5
"41",9.09999999999999,9.09999999999999,9.90000000000001,9.09999999999999,9.7,8.39999999999999,8,9.59999999999999
"42",9.80000000000001,8.90000000000001,8.89999999999999,10.8,9.5,11.7,14.5,9.10000000000001
"43",-1.7,-1.8,-0.699999999999989,-1.60000000000001,-1.2,-2,-1.40000000000001,-0.200000000000003
"44",-12.8,-11.5,-14.4,-13.8,-14.3,-13,-12.9,-15.3
"45",-6.9,-7.2,-6.6,-5.7,-6.5,-5.59999999999999,-5.8,-6.90000000000001
"46",-18.6,-19.3,-19.3,-20.2,-18.5,-22.1,-25.1,-19
"47",-6.4,-4.2,-4.4,-5.3,-5.9,-6.1,-4.1,-5.6
"48",-8.2,-9.1,-9.4,-4.6,-9.6,-5.9,-4.4,-10.5
"49",2.3,1.9,1.5,1.8,2.1,2.8,9.25,3
"50",19.9,18.9,19.6,15.5,20.5,19.2,9.25,20.1
"51",8.2,5.09999999999999,7.5,5.5,8.4,7.6,7.2,9.90000000000001
"52",10.4,12,11.2,11.5,10.6,10.3,11,9.59999999999999
"53",3.5,5.3,5.4,4.90000000000001,4.59999999999999,2.3,2.89999999999999,5
"54",5.7,5,4.59999999999999,6,4.10000000000001,6.8,6.2,5
"55",-3,-3.09999999999999,-2.59999999999999,-2.7,-1.7,-3.3,-2.5,-2.3
"56",-1.09999999999999,-1,-1.3,-2.2,-1.09999999999999,-0.799999999999997,-1.3,0.200000000000003
"57",-14.8,-14.4,-14.7,-13.7,-16.1,-16.4,-15.7,-15.7
"58",-14,-13.2,-13.4,-15.2,-13.3,-14.9,-14.5,-13.3
"59",-8,-8.2,-9.5,-6,-8.9,-5.40000000000001,-7.1,-12.8
"60",-8.5,-9.6,-7.9,-6.7,-9.6,-10.1,-9.2,-9.4
"61",10.8,9,11.4,10.6,13,15,15,13.9
"62",7.09999999999999,9,5.2,4.5,6.4,6.4,4.4,6.6
"63",10.9,9.7,10.7,8.3,10.9,8.2,7.4,13.9
