"","Var1","Var2","Cor","Lag","Months"
"739","CDY","G65",0.304196610024854,0,0
"740","CDY","RV",0.738109924014467,0,0
"741","CDY","KY",0.764275518555031,0,0
"742","CDY","HY",0.654086418842965,0,0
"743","CDY","GI",0.634822923718133,0,0
"744","CDY","GS",0.529337179579985,0,0
"745","CDY","GO",0.574109991117643,0,0
"746","CDY","NP",0.538186144108592,0,0
"747","CDY","DC",0.407332677465052,0,0
"748","CDY","RVT",0.272072447743284,0.916666666666667,11
"749","CDY","CDYT",0.281698913402253,0.916666666666667,11
"750","CDY","KYT",0.274268439844294,0.916666666666667,11
"751","CDY","HYT",0.265923581131617,0.916666666666667,11
"752","CDY","GIT",0.274509962111012,0.916666666666667,11
"753","CDY","GOT",0.274071723123624,0.916666666666667,11
"754","CDY","NPT",0.269724255206322,0.916666666666667,11
"755","CDY","DCT",0.275054037746259,0.916666666666667,11
"756","CDY","Pu",0.179331020011546,0.0833333333333333,1
"757","KY","W60",0.226452881078734,-1.66666666666667,-20
"758","KY","W63",0.190829367177379,-0.0833333333333333,-1
"759","KY","W67",0.202154413130232,-0.0833333333333333,-1
"760","KY","W70",0.278692678675826,-0.0833333333333333,-1
"761","KY","W73",0.257706163764763,-0.0833333333333333,-1
"762","KY","W74",0.193320878954054,0.166666666666667,2
"763","KY","W78",0.181171343777128,-0.0833333333333333,-1
"764","KY","W80",0.277703805522752,1.16666666666667,14
"765","KY","W81",0.186382307193233,-0.0833333333333333,-1
"766","KY","W115",0.225625348078212,-0.0833333333333333,-1
"767","KY","W116",0.293320612021257,-0.0833333333333333,-1
"768","KY","W118",0.229428080599782,-0.25,-3
"769","KY","G40",0.186969542174953,-0.166666666666667,-2
"770","KY","G42",0.212848605167617,0,0
"771","KY","G45",0.230384311584155,0,0
"772","KY","G49",0.244012436741172,1.33333333333333,16
"773","KY","G51",0.239273345279417,0,0
"774","KY","G53",0.230133211721375,1.33333333333333,16
"775","KY","G65",0.33465563299624,0,0
"776","KY","RV",0.789878505871386,0,0
"777","KY","CDY",0.764275518555031,0,0
"778","KY","HY",0.622172084746575,0,0
"779","KY","GI",0.74215294551389,0,0
"780","KY","GS",0.575629767903177,0,0
"781","KY","GO",0.545936539442934,0,0
"782","KY","NP",0.580315599095016,0,0
"783","KY","DC",0.387035752380485,0,0
"784","KY","RVT",0.232124056414923,0.916666666666667,11
"785","KY","CDYT",0.239613570518406,0.916666666666667,11
"786","KY","KYT",0.239914259610161,0.916666666666667,11
"787","KY","HYT",0.22936001619854,0.916666666666667,11
"788","KY","GIT",0.234814844250291,0.916666666666667,11
"789","KY","GOT",0.227738741261927,0.916666666666667,11
"790","KY","NPT",0.226464155195332,0.916666666666667,11
"791","KY","DCT",0.230314792692148,0.916666666666667,11
"792","KY","Pu",0.207613469301043,0.25,3
"793","HY","W60",0.173634978591608,0.333333333333333,4
"794","HY","W63",0.140984049900842,-0.75,-9
"795","HY","W67",0.130781591228899,-1,-12
"796","HY","W70",0.311020204299396,-0.0833333333333333,-1
"797","HY","W73",0.261550347420106,-0.0833333333333333,-1
"798","HY","W74",0.223104900204206,1.16666666666667,14
"799","HY","W78",0.130982262358483,-0.0833333333333333,-1
"800","HY","W80",0.225683025457832,1.16666666666667,14
"801","HY","W81",0.162058934884888,0.333333333333333,4
"802","HY","W115",0.16044792455249,-0.916666666666667,-11
"803","HY","W116",0.21329171596744,-0.0833333333333333,-1
"804","HY","W118",0.259805130105412,-0.25,-3
"805","HY","G40",0.163557878677513,-0.166666666666667,-2
"806","HY","G42",0.164362640383147,1.16666666666667,14
"807","HY","G45",0.236290956977717,-1.66666666666667,-20
"808","HY","G49",0.22543540835654,0.333333333333333,4
"809","HY","G51",0.198535205974095,-0.0833333333333333,-1
"810","HY","G53",0.205627156053681,-0.666666666666667,-8
"811","HY","G65",0.248416182105994,0,0
"812","HY","RV",0.583646865904196,0,0
"813","HY","CDY",0.654086418842965,0,0
"814","HY","KY",0.622172084746575,0,0
"815","HY","GI",0.491711795542851,0,0
"816","HY","GS",0.308960470840019,0,0
"817","HY","GO",0.482320894304476,0,0
"818","HY","NP",0.621895042248388,0,0
"819","HY","DC",0.271651866246178,0,0
"820","HY","RVT",0.278393664527679,0.916666666666667,11
"821","HY","CDYT",0.266225586415459,0.916666666666667,11
"822","HY","KYT",0.280641959107799,0.916666666666667,11
"823","HY","HYT",0.271736299662168,0.916666666666667,11
