"","RV","CDY","KY","HY","GI","GS","GO","NP","DC"
"218",0.19,0.335,0.32,0.12,0.51,1.58,-0.05,0.34,0.6
"219",0.43,1.935,0.98,0.5,0,-1.3,0.4,-0.15,-0.57
"220",4.1,1.935,3.53,4.6,2.72,1.78,1.05,0.8,0.42
"221",-1.05,-1.51,-2.69,-2.03,0.63,6.63,-0.22,-0.21,2.05
"222",0.4,-0.395,3.2,0.78,-1.03,-2.71,0.24,0.68,-0.82
"223",-1.8,-0.395,-4.02,-1.9,-0.91,-2.84,-1.11,-0.72,0.13
"224",-1.57,-0.00499999999999989,-0.2,-1.09,-0.18,-0.32,0.97,-0.48,0.62
"225",1.18,-0.00500000000000034,1.65,2.11,0.39,-0.16,-0.56,0.49,-1.62
"226",-1.99,-2.07,-2.65,-2.94,-1.19,-2.24,-0.65,-0.6,-0.76
"227",3.31,1.75,2.64,0.87,1.75,2.4,0.78,0.59,1.23
