"","F9.W63","F9.G42","F9.KY_P","F9.KY_T","F9.Pumping"
"102",0.0216930361360678,0.035510942215508,0.0381119227564339,-0.00769219097230601,-0.0361870556843292
"103",0.030318614475873,0.0278143866014231,0.0298771670531318,-0.0060985697803177,-0.0436816583934435
"104",0.0377076955495889,0.018984894261493,0.023656937766577,-0.00395611577002328,-0.0477182456940496
"105",0.0440227331810937,0.0117824098896158,0.0193906444394612,-0.00156269401575248,-0.0857523592823656
"106",0.0506649145384091,0.00664250831490115,0.0159561004538043,0.00110796047067021,-0.0919988547684472
"107",0.0575302836029008,-0.000350484918729141,0.00826837132360414,0.0039002748387692,-0.0452590225655289
"108",0.0630582900965862,-0.00975491768411369,-0.00145455228143964,0.00612296427281213,-0.0138788428412739
"109",0.0665120086290074,-0.0219986442020425,-0.0151267555472876,0.00765059153464852,0.0110427308967883
"110",0.067107602667983,-0.0381394968707062,-0.0314338317305392,0.00821358105993036,0.0562497733359108
"111",0.0640157228162873,-0.0569192490940259,-0.0490225258503716,0.00793820631233122,0.10012433053463
"112",0.0569878223066472,-0.0750543857921988,-0.0635130862035208,0.0069427810477304,0.12536306354396
"113",0.04595656699011,-0.0900289360751564,-0.0730099387667432,0.00565943602340421,0.124197690476102
"114",0.0326844179122625,-0.0965638330521675,-0.074639695343214,0.00418018888321774,0.077992264155122
"115",0.0187686390697255,-0.0960457058750934,-0.0715427792166929,0.00290994983016171,0.0623097708381112
"116",0.00586899922954764,-0.0879471745829114,-0.0628184266704647,0.00165058439670975,0.0411487720785055
"117",-0.00465944490156583,-0.0746809238549256,-0.0537209643486115,0.000661647653890385,0.0334588723891731
"118",-0.0128542437413179,-0.0605595441411207,-0.0463744848554696,-0.000222542614602034,0.040879523252566
"119",-0.019307136610823,-0.0496228854420778,-0.0433381116136015,-0.00101017631007465,0.0670693067979997
"120",-0.0254369050651175,-0.0416526652354761,-0.0416210099842958,-0.00204641673682271,0.0668740168177932
"121",-0.0311358672605939,-0.0359774579854909,-0.0400154358700837,-0.00274493655739882,0.0652704812020543
"122",-0.0365820552281651,-0.031688523158081,-0.0362365052302563,-0.00315592254422113,0.0666913622051466
"123",-0.0411377571190964,-0.0253207397592189,-0.0292297487721661,-0.00310261702780776,0.0426994124395006
"124",-0.0441336011403037,-0.0156568105191464,-0.0187336694209488,-0.00271083986487939,0.0277276224137819
"125",-0.0455360486294582,0.000340703728677865,-0.00456929315157073,-0.00216435923709454,-0.0487368674527902
"126",-0.0444779302829183,0.018993440156862,0.00919743282201598,-0.00149312296044291,-0.0654746745393774
"127",-0.0412008972446217,0.0355450382092063,0.0194239863332702,-0.00106914771456742,-0.0463651882069431
"128",-0.0369773057572684,0.0467224099819326,0.0236388957111885,-0.00123365235477007,0.00428707242670756
"129",-0.0327380781974874,0.0546499963616609,0.0233906571460256,-0.00198216543617662,-0.00187845496726828
"130",-0.0303413089849335,0.0566871837789926,0.0199186252066243,-0.00308706489092274,0.0114894295209633
"131",-0.0295977332441411,0.0563861564762604,0.0182780546773008,-0.00457486298819628,0.000668926161139443
"132",-0.0295073015855161,0.0564968536601871,0.0198293124549254,-0.00581894068089552,-0.00102261285825305
"133",-0.0289456151687152,0.0613460626476677,0.0266309417366062,-0.00639586292361575,-0.0495022082084504
"134",-0.0268858264428975,0.0702465238809426,0.0373212724624109,-0.00598646068574488,-0.0774591437016148
"135",-0.0221438899333416,0.0829879994183689,0.0500472346092826,-0.0048686191883141,-0.122403938760561
"136",-0.0142906648266789,0.0954435296031952,0.0613708644861753,-0.00336765287205174,-0.118842363950084
"137",-0.00331450921722048,0.106608606698248,0.067657133238659,-0.0016361087743148,-0.132803653950221
"138",0.00867786376422317,0.109658826400681,0.0656684611427379,0.000343835211736707,-0.0971283716587332
"139",0.0196474209563909,0.101035833855167,0.0559155947409195,0.00220640773984034,-0.03514778046108
"140",0.0280630416563379,0.083647619895318,0.0419110536201912,0.00375268338872246,0.00712134019201748
"141",0.0330918728186246,0.0611101974497372,0.0261099564152702,0.00523018040927002,0.0263572287508299
"142",0.0343685414075008,0.0371512046687856,0.0137031577491126,0.0067119260434461,0.0362239735670119
"143",0.0329355163209819,0.0146049716600318,0.00432506585093542,0.00811451680699756,0.052830752477475
"144",0.0299995190129,-0.00408724660090329,-0.000361914144728096,0.00923972362221827,0.0684478092942004
"145",0.0264888926278636,-0.0172504958498089,-0.00490620551398347,0.00991597027192476,0.0567980647012709
"146",0.0222731601077195,-0.0268129280837318,-0.00936672864543297,0.00987374824901245,0.0475621050915419
"147",0.017549564141615,-0.0367315102486244,-0.0176214787278364,0.00906680074593807,0.075053386619648
"148",0.0112562933897633,-0.0480144770875285,-0.0269557049927646,0.0071500439407161,0.0958218836432717
"149",0.00383988325300996,-0.0608201993768846,-0.0401766701320009,0.00507252119589612,0.128998529564125
"150",-0.00614084953928013,-0.0745632323256277,-0.0520351678799394,0.00298682921587184,0.13139954685617
"151",-0.0180970480550512,-0.0875151482343229,-0.0594857934601771,0.00131060123435859,0.142372275901468
"152",-0.0296256891601878,-0.0933895583086485,-0.0578783959985017,-7.02448883432843e-05,0.112859354611893
"153",-0.0391375534362959,-0.0905296883359807,-0.0494780534431641,-0.000749216278753143,0.0719966274842204
"154",-0.0446015888629365,-0.0806380568333085,-0.0375185550156356,-0.000778168671442752,0.0737265226317876
"155",-0.0467218365826543,-0.0667887096299111,-0.0255527206841515,-0.0005099155842153,0.053065199659675
"156",-0.0459453707609579,-0.0528057940706814,-0.0158491436761414,-0.000581570031997593,0.0602551957684666
"157",-0.0443886746359805,-0.0388218614230433,-0.009726024082051,-0.00120082989475551,NA
"158",-0.0421889487484584,-0.0284466366988508,-0.0090500926838081,-0.002238212111245,NA
"159",-0.0411496865718823,-0.0229361356807201,-0.0105396580175258,-0.00354712908019463,NA
"160",-0.0415089964411277,-0.0199615193193196,-0.011727187971501,-0.00492822152303746,NA
"161",-0.0423945255596334,-0.0168147247870652,-0.010248964157817,-0.00576149433474347,NA
"162",-0.0431056500109827,-0.0109560117664423,-0.00514049072457981,-0.00607794410068954,NA
"163",-0.0427080032387467,-0.00102039870746799,0.0055427813891194,-0.00616894864077816,NA
"164",-0.0397853361715308,0.0136284159065747,0.0193856923386601,-0.00623611931644124,NA
"165",-0.0335846966166379,0.0309914683464652,0.0321306647828482,-0.00639847439674915,NA
"166",-0.0253938176894161,0.0465915702410448,0.0391268754284307,-0.00668138721980268,NA
"167",-0.0170285140139338,0.056627056225399,0.0408815987214902,-0.00739326877430193,NA
"168",-0.00916258872306046,0.0620411178051736,0.0399327249876614,-0.00851625864339384,NA
"169",-0.00145829767376295,0.0636931488754917,0.0364878043439367,-0.00915701578245238,NA
"170",0.00506684495461286,0.0611931605182412,0.0326464669224861,-0.00900880514396764,NA
"171",0.0108785830569245,0.0566543624358693,0.0301801430028422,-0.00776345530496016,NA
"172",0.016334544665403,0.0524451586193774,0.0321313692604941,-0.00564426946501587,NA
"173",0.0232457908148316,0.0503523652816106,0.0351140846520663,-0.00277012575932554,NA
"174",0.0312488604187952,0.0490236742667925,0.0384955676771934,0.000214991713378411,NA
"175",0.0397931875624072,0.0453345789990835,0.0354367983546037,0.00267859340757627,NA
"176",0.0466445132606003,0.0371320187625646,0.0277183421345654,0.00429227313447689,NA
"177",0.0508227119438846,0.0235252589145805,0.0106808902037177,0.00528139883893076,NA
"178",0.0496959812448668,0.00297880628384761,-0.00907668926648194,0.00561679940922541,NA
"179",0.0436282196758367,-0.0209168642163112,-0.0287245333986987,0.00534544413201526,NA
"180",0.0351591150949883,-0.0413521808534016,-0.0419006439604728,0.00482037331727944,NA
"181",0.0251382625806008,-0.0568044688809728,-0.050091029432065,0.00500723298798421,NA
"182",0.0143739235042761,-0.0666287729289825,-0.0512009365848671,0.00549326367895921,NA
"183",0.00472883783373841,-0.0688550068448041,-0.0471434509687553,0.00604471359378134,NA
"184",-0.00250191051466259,-0.0633540498003953,-0.0388763832742656,0.00600392475720076,NA
"185",-0.0073054806485712,-0.0534283057743858,-0.0330134697266547,0.00570762967705077,NA
"186",-0.0113368487616108,-0.0446170620451053,-0.0321231254128975,0.00503856482806664,NA
"187",-0.0176309831517321,-0.0424543159929142,-0.0371205235830718,0.00410147663803905,NA
"188",-0.0251130364916625,-0.0422641215748985,-0.0430737778584729,0.00287828995965212,NA
"189",-0.0333517991237958,-0.0423755702521984,-0.0473986707763242,0.00234209116942014,NA
"190",-0.0412643414527166,-0.0406999201113535,-0.0475417842649025,0.00227202358698503,NA
"191",-0.047596658294701,-0.0352111197249077,-0.0405065675852779,0.00278144198069396,NA
"192",-0.0502974734717334,-0.022832094475679,-0.0292416339610975,0.0036052309514595,NA
"193",-0.0498041309689412,-0.00564824267581187,-0.0153292267961527,0.00479670101163064,NA
"194",-0.046499683955959,0.0144855178430071,-0.00235350784168516,0.00556067531737493,NA
"195",-0.0413525560070664,0.0345567775423023,0.00691384277592324,0.00529440618470237,NA
"196",-0.0368438758373442,0.0518919825888453,0.0115184790634236,0.00407420881086369,NA
"197",-0.0333553030456879,0.0648696868873132,0.00859722012276293,0.00267112202470541,NA
"198",-0.0357243688239656,0.0680413399321402,0.00315187320567451,0.00138806762990456,NA
"199",-0.0409874772225891,0.0672728027246252,0.00086077260590511,4.60721879023396e-05,NA
"200",-0.0458736635809085,0.0706424401359576,0.00647278869150258,-0.00117799466834909,NA
"201",-0.0463991758841461,0.081845797913651,0.0186725560225682,-0.00143522737031882,NA
"202",-0.0451047271852175,0.0951289913710048,0.0363558173911134,-0.00113067933399049,NA
"203",-0.0401810459191754,0.110995023101511,0.0559567157676534,-0.000500046973136404,NA
"204",-0.0328540812101951,0.126727950505341,0.0753164435508779,-3.63683296222473e-05,NA
"205",-0.0226251452035944,0.141400719776295,0.0873955491051272,0.000544024131674031,NA
"206",-0.0146474330806072,0.146435544970203,0.092732333472826,0.00101686577021824,NA
"207",-0.00949681231459244,0.14032236117492,0.0875261412971778,0.00148557746196835,NA
"208",-0.0101991371744341,0.121465426537943,0.0769884911253695,0.00229176882617579,NA
"209",-0.0131864232549479,0.0959438847402695,0.061588732799149,0.00410798746522183,NA
"210",-0.0205773530077255,0.0624745677871528,0.0478419936009277,0.00655952305801277,NA
"211",-0.0275632646326695,0.0300702780904071,0.0388486948448987,0.00884636684438614,NA
"212",-0.0301592807525674,0.00454608952543496,0.0331588873100807,0.0112463598159275,NA
"213",-0.0292478766202519,-0.0169325887883175,0.0257340494094621,0.0139329807929023,NA
"214",-0.027537737175432,-0.0393093047206336,0.016841137244176,0.0162500045359929,NA
"215",-0.0269448209184283,-0.063550293919116,0.00266470101692094,0.0175618580505285,NA
"216",-0.0271973861188907,-0.0862201710339746,-0.0133858642215748,0.0173746636073227,NA
"217",-0.0287735428945574,-0.107760029736384,-0.0362389395568385,0.0170116808005006,NA
"218",-0.037082611921644,-0.136150966346178,-0.061836732911885,0.0159275043600573,NA
"219",-0.0532292148144564,-0.172039094684012,-0.0858916317654288,0.0145944061381216,NA
"220",-0.0697570878753703,-0.200215636002498,-0.106255581225883,0.0127280679321646,NA
"221",-0.0850793478581459,-0.219499050756043,-0.11473701035324,0.0112206167999316,NA
"222",-0.0929057343855523,-0.222642665438138,-0.115286613330658,0.00920782543656904,NA
"223",-0.0972784882623648,-0.217711863014786,-0.105412152417533,0.00655812701086959,NA
"224",-0.0919429607540626,-0.197498335337709,-0.0973243271038209,0.00490102191871908,NA
"225",-0.0877987462374344,-0.179031615950549,-0.0897209419114546,0.00446045825079353,NA
"226",-0.0949770064758756,-0.17559225570323,-0.0730100700276858,0.00469498593403626,NA
"227",-0.0935735809968727,-0.161731585652037,-0.0513107020639208,0.00373662935450315,NA
"228",-0.10706121867202,-0.164886750083878,-0.0128467726198582,0.00018977193390799,NA
